City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
478,Iralaya,HN,76.21,clear sky,15.0,-83.2333,Iglesia morava renovada
479,Salinopolis,BR,77.92,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
486,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
494,Bandarbeyla,SO,76.89,clear sky,9.4942,50.8122,JABIR HOTEL
496,Mahajanga,MG,84.22,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
499,Port Blair,IN,86.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
500,Tibacuy,CO,81.9,overcast clouds,4.3511,-72.4564,hospedaje las palmas
502,Byron Bay,AU,79.05,overcast clouds,-28.65,153.6167,Backpackers Inn
506,Hambantota,LK,84.54,broken clouds,6.1241,81.1185,Bungalow 63
512,Sao Jose Da Coroa Grande,BR,77.32,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
513,Moindou,NC,85.95,heavy intensity rain,-21.6924,165.677,Equi-lodge de Moindou
518,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
519,Mogadishu,SO,78.67,scattered clouds,2.0371,45.3438,Hotel Juba
521,Ugoofaaru,MV,81.19,overcast clouds,5.6667,73.0,Ungoofaaru Inn
535,Kalmunai,LK,81.52,overcast clouds,7.4167,81.8167,VS Villa
538,Emerald,AU,89.74,scattered clouds,-23.5333,148.1667,The Irish Village
539,Port Keats,AU,84.36,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
541,Penha,BR,77.16,overcast clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
542,Port Lincoln,AU,79.38,clear sky,-34.7333,135.8667,Port Lincoln Hotel
543,Inhambane,MZ,78.26,light rain,-23.865,35.3833,Oceano
544,Kampot,KH,87.85,scattered clouds,10.6167,104.1833,Two Moons Hotel
547,Candelaria,PH,82.38,broken clouds,13.9311,121.4233,Casa de Provincia
