City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Egvekinot,66.3167,-179.1667,-11.06,87,6,10.36,RU,2022-02-06 03:47:35
229,Lorengau,-2.0226,147.2712,83.79,72,100,9.31,PG,2022-02-06 03:43:01
230,Nantucket,41.2835,-70.0995,24.91,58,0,18.41,US,2022-02-06 03:48:36
231,Tuatapere,-46.1333,167.6833,57.81,48,25,7.99,NZ,2022-02-06 03:48:36
232,Hasaki,35.7333,140.8333,46.29,27,1,15.21,JP,2022-02-06 03:48:20
233,Porbandar,21.6422,69.6093,60.78,77,0,0.0,IN,2022-02-06 03:48:29
234,Upernavik,72.7868,-56.1549,-1.59,98,100,3.67,GL,2022-02-06 03:44:16
235,Sistranda,63.7256,8.834,37.9,69,100,28.05,NO,2022-02-06 03:48:37
236,Kaoma,-14.7833,24.8,63.75,99,100,3.65,ZM,2022-02-06 03:48:38
237,Chalmette,29.9427,-89.9634,46.4,62,0,3.44,US,2022-02-06 03:48:38
238,Solwezi,-12.1688,26.3894,58.73,98,100,3.22,ZM,2022-02-06 03:48:38
239,Mareeba,-17.0,145.4333,83.66,73,36,5.26,AU,2022-02-06 03:46:59
240,Husavik,66.0449,-17.3389,30.11,87,100,20.36,IS,2022-02-06 03:47:56
241,Castro,-24.7911,-50.0119,63.32,98,99,3.85,BR,2022-02-06 03:48:39
242,Kavieng,-2.5744,150.7967,83.64,74,100,8.43,PG,2022-02-06 03:48:40
243,Grand-Santi,4.25,-54.3833,72.36,100,100,1.92,GF,2022-02-06 03:48:40
244,New Norfolk,-42.7826,147.0587,76.66,33,0,3.0,AU,2022-02-06 03:48:41
245,General Roca,-39.0333,-67.5833,68.4,36,98,7.72,AR,2022-02-06 03:48:41
246,Lasa,46.6166,10.7002,35.06,40,6,3.29,IT,2022-02-06 03:46:52
247,Portland,45.5234,-122.6762,46.69,87,0,1.01,US,2022-02-06 03:46:08
248,Sao Joao Da Barra,-21.6403,-41.0511,76.24,86,1,20.0,BR,2022-02-06 03:48:42
249,Whitehorse,60.7161,-135.0538,28.02,94,100,17.0,CA,2022-02-06 03:48:11
250,Terre-De-Bas,15.8501,-61.6442,69.66,77,3,11.43,GP,2022-02-06 03:48:42
251,Kijang,35.2442,129.2139,37.13,38,100,13.6,KR,2022-02-06 03:48:43
252,Kodinsk,58.6881,99.1844,16.9,91,100,8.86,RU,2022-02-06 03:48:43
253,Aksarka,66.5606,67.7975,-21.91,100,73,3.6,RU,2022-02-06 03:48:44
254,Baudh,20.8416,84.3213,72.86,19,5,0.63,IN,2022-02-06 03:48:44
255,Suntar,62.1444,117.6319,7.14,92,97,5.28,RU,2022-02-06 03:48:44
256,Grindavik,63.8424,-22.4338,31.95,80,75,19.57,IS,2022-02-06 03:48:45
257,Kasane,-17.8167,25.15,66.29,100,0,9.22,BW,2022-02-06 03:48:45
258,Iwaki,37.05,140.8833,42.06,35,43,8.99,JP,2022-02-06 03:48:46
259,Mgandu,-5.95,34.1333,60.24,90,100,2.71,TZ,2022-02-06 03:48:46
