City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
59,Iqaluit,63.7506,-68.5145,-36.31,73,0,5.99,CA,clear sky,2022-02-06 04:43:45
60,Leningradskiy,69.3833,178.4167,-22.34,97,13,3.51,RU,few clouds,2022-02-06 04:43:45
61,Jamestown,42.097,-79.2353,14.72,63,0,5.75,US,clear sky,2022-02-06 04:43:46
62,Naze,28.3667,129.4833,54.52,62,98,14.25,JP,overcast clouds,2022-02-06 04:43:46
63,Loa Janan,-0.583,117.095,91.0,50,100,5.95,ID,overcast clouds,2022-02-06 04:43:47
64,Avarua,-21.2078,-159.775,80.65,83,20,14.97,CK,few clouds,2022-02-06 04:41:18
65,Havre-Saint-Pierre,50.2334,-63.5986,3.79,55,0,5.75,CA,clear sky,2022-02-06 04:43:47
66,Ngunguru,-35.6167,174.5,75.16,95,100,6.76,NZ,light rain,2022-02-06 04:43:48
67,Vila Franca Do Campo,37.7167,-25.4333,60.19,86,81,15.21,PT,broken clouds,2022-02-06 04:43:48
68,Saldanha,-33.0117,17.9442,59.05,77,68,6.22,ZA,broken clouds,2022-02-06 04:43:49
69,Cenotillo,20.9667,-88.6167,66.94,97,67,4.81,MX,broken clouds,2022-02-06 04:43:49
70,Kavieng,-2.5744,150.7967,83.5,74,100,9.93,PG,light rain,2022-02-06 04:43:49
71,Sinnamary,5.3833,-52.95,76.71,88,100,7.99,GF,overcast clouds,2022-02-06 04:43:50
72,Saint George,37.1041,-113.5841,45.79,31,0,4.0,US,clear sky,2022-02-06 04:43:50
73,Souillac,-20.5167,57.5167,82.36,83,75,13.8,MU,broken clouds,2022-02-06 04:43:51
74,Pevek,69.7008,170.3133,-26.7,99,27,2.44,RU,scattered clouds,2022-02-06 04:43:51
75,Vikhorevka,56.1201,101.1636,20.79,89,100,9.66,RU,overcast clouds,2022-02-06 04:43:52
76,Norman Wells,65.282,-126.8329,-25.56,68,20,2.3,CA,few clouds,2022-02-06 04:43:52
77,Pauini,-7.7136,-66.9764,70.84,99,97,2.01,BR,overcast clouds,2022-02-06 04:43:53
78,Bethel,41.3712,-73.414,18.48,66,0,5.75,US,clear sky,2022-02-06 04:43:53
79,Primorsko-Akhtarsk,46.0497,38.1747,38.26,95,100,14.05,RU,light rain,2022-02-06 04:43:53
80,Kruisfontein,-34.0033,24.7314,65.88,85,19,8.23,ZA,few clouds,2022-02-06 04:43:54
81,Kodiak,57.79,-152.4072,38.71,87,100,12.66,US,moderate rain,2022-02-06 04:43:54
82,Newala,-10.9431,39.2787,66.96,95,100,3.83,TZ,light rain,2022-02-06 04:43:55
83,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.03,97,98,0.89,BR,overcast clouds,2022-02-06 04:43:55
84,Tiksi,71.6872,128.8694,-23.1,98,98,5.59,RU,overcast clouds,2022-02-06 04:43:55
85,Klaksvik,62.2266,-6.589,32.92,67,100,23.51,FO,overcast clouds,2022-02-06 04:43:56
86,Fort Smith,35.3859,-94.3986,36.19,90,0,8.05,US,clear sky,2022-02-06 04:40:01
87,Nabire,-3.3667,135.4833,85.17,66,100,7.05,ID,overcast clouds,2022-02-06 04:43:56
88,Los Llanos De Aridane,28.6585,-17.9182,64.13,31,0,11.01,ES,clear sky,2022-02-06 04:43:57
89,Rio Grande,-32.035,-52.0986,68.95,81,1,14.05,BR,clear sky,2022-02-06 04:40:45
90,Komsomolskiy,40.4272,71.7189,43.52,26,100,9.22,UZ,overcast clouds,2022-02-06 04:44:57
91,Saint-Philippe,-21.3585,55.7679,83.79,82,100,20.0,RE,light rain,2022-02-06 04:44:58
92,Makakilo City,21.3469,-158.0858,75.56,68,20,8.05,US,few clouds,2022-02-06 04:44:58
93,Wasilla,61.5814,-149.4394,30.4,78,100,0.0,US,overcast clouds,2022-02-06 04:44:26
94,Carnarvon,-24.8667,113.6333,84.27,65,75,16.11,AU,broken clouds,2022-02-06 04:44:59
95,Puerto Ayora,-0.7393,-90.3518,75.54,92,28,1.99,EC,scattered clouds,2022-02-06 04:44:59
96,Rabapatona,47.6322,17.48,35.1,86,53,11.16,HU,broken clouds,2022-02-06 04:45:00
97,Tasiilaq,65.6145,-37.6368,17.76,62,97,6.24,GL,overcast clouds,2022-02-06 04:45:00
98,Cangzhou,38.3167,116.8667,37.31,23,87,2.89,CN,overcast clouds,2022-02-06 04:45:01
99,Berkak,62.825,10.0118,25.79,78,89,11.21,NO,overcast clouds,2022-02-06 04:45:01
100,Yellowknife,62.456,-114.3525,-19.68,76,0,6.91,CA,clear sky,2022-02-06 04:41:40
101,Hasaki,35.7333,140.8333,48.29,27,14,15.77,JP,few clouds,2022-02-06 04:45:01
102,Chara,56.9064,118.2631,-6.54,89,3,1.52,RU,clear sky,2022-02-06 04:45:02
103,Gat,31.61,34.7642,53.4,100,64,5.48,IL,broken clouds,2022-02-06 04:45:02
104,Varnavino,57.4035,45.0916,2.95,100,99,2.93,RU,overcast clouds,2022-02-06 04:45:03
105,Saskylakh,71.9167,114.0833,-26.21,100,98,2.86,RU,overcast clouds,2022-02-06 04:45:03
106,Kurtamysh,54.9103,64.4319,14.63,86,100,8.19,RU,overcast clouds,2022-02-06 04:45:04
107,Ola,59.5833,151.2833,10.81,74,24,9.62,RU,few clouds,2022-02-06 04:45:04
108,Tadine,-21.55,167.8833,83.89,76,39,11.32,NC,scattered clouds,2022-02-06 04:45:04
